┌─────────┬───────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────┬───────────────────────────────────────────────────────────────┐
│ (index) │ file                                                                                                                          │ storedProcedureName                                           │
│ 30      │ 'C:\\Dev\\Efecty.SiewebLive\\Framework.Gestores\\Instrumentacion\\DaoInstrumentacion.cs'                                      │ 'SpLnCOMSelParametriosGenerales'                              │
│ 31      │ 'C:\\Dev\\Efecty.SiewebLive\\Framework.Gestores\\Instrumentacion\\DaoInstrumentacion.cs'                                      │ 'SPLnPROUSUSelMailNotificacion'                               │
│ 32      │ 'C:\\Dev\\Efecty.SiewebLive\\Framework.Gestores\\Instrumentacion\\DaoInstrumentacion.cs'                                      │ 'SpLnCOMSelParametriosGenerales'                              │
│ 33      │ 'C:\\Dev\\Efecty.SiewebLive\\Framework.Gestores\\Seguridad\\DaoSeguridad.cs'                                                  │ 'SpLnCOMSelParametriosGenerales'                              │
│ 34      │ 'C:\\Dev\\Efecty.SiewebLive\\Framework.Gestores\\Transacciones\\Transaccion.cs'                                               │ 'spLnTRAInsSeguimientoInicial'                                │
│ 35      │ 'C:\\Dev\\Efecty.SiewebLive\\Framework.Gestores\\Transacciones\\Transaccion.cs'                                               │ 'spLnTRAInsTxReejecutable'                                    │
│ 36      │ 'C:\\Dev\\Efecty.SiewebLive\\Framework.Gestores\\Transacciones\\Transaccion.cs'                                               │ 'spLnTRAUpdTxReejecutable'                                    │
│ 37      │ 'C:\\Dev\\Efecty.SiewebLive\\Framework.Gestores\\Transacciones\\Transaccion.cs'                                               │ 'spLnTRASelEstadoXIdTransaccion'                              │
│ 38      │ 'C:\\Dev\\Efecty.SiewebLive\\Framework.Gestores\\Transacciones\\Transaccion.cs'                                               │ 'spLnTRAUpdEstadoTx'                                          │
│ 39      │ 'C:\\Dev\\Efecty.SiewebLive\\Framework.Gestores\\Transacciones\\Transaccion.cs'                                               │ 'spLnTRASelSeguimientoXIdTransaccion'                         │
│ 40      │ 'C:\\Dev\\Efecty.SiewebLive\\Gestores.ClaroGestor\\DaoGestoresClaroGestor.cs'                                                 │ 'spPUNSERSelCodDanePorPS'                                     │
│ 41      │ 'C:\\Dev\\Efecty.SiewebLive\\Gestores.ClaroGestor\\DaoGestoresClaroGestor.cs'                                                 │ 'spPARINTUpdValorParametro'                                   │
│ 42      │ 'C:\\Dev\\Efecty.SiewebLive\\Gestores.Movistar\\DaoMovistar.cs'                                                               │ 'spPUNSERSelConsultarCamposPS'                                │
│ 43      │ 'C:\\Dev\\Efecty.SiewebLive\\Int\\Gestores.SumaMovil\\DaoGestorSumaMovil.cs'                                                  │ 'spMOVPROPLAUpdCampoClave'                                    │
│ 44      │ 'C:\\Dev\\Efecty.SiewebLive\\Int\\Integraciones.AdelantosRec\\DaoIntegracionAdelantos.cs'                                     │ 'spMOVPROPLAUpdCampoClave'                                    │
│ 45      │ 'C:\\Dev\\Efecty.SiewebLive\\Int\\Integraciones.Afinia\\DaoIntegracionAfinia.cs'                                              │ 'spMOVPROPLAUpdCampoClave'                                    │
│ 46      │ 'C:\\Dev\\Efecty.SiewebLive\\Int\\Integraciones.AguasdeCartagena\\DaoIntegracionAguasdeCartagena.cs'                          │ 'spMOVPROPLAUpdCampoClave'                                    │
│ 47      │ 'C:\\Dev\\Efecty.SiewebLive\\Int\\Integraciones.AguasDeTunja\\DaoIntegracionaguasDeTunja.cs'                                  │ 'spMOVPROPLAUpdCampoClave'                                    │
│ 48      │ 'C:\\Dev\\Efecty.SiewebLive\\Int\\Integraciones.AloCredit\\DaoIntegracionAloCredit.cs'                                        │ 'spMOVPROPLAUpdCampoClave'                                    │
│ 49      │ 'C:\\Dev\\Efecty.SiewebLive\\Int\\Integraciones.Amelissa\\DaoIntegracionAmelissa.cs'                                          │ 'spMOVPROPLAUpdCampoClave'                                    │
│ 50      │ 'C:\\Dev\\Efecty.SiewebLive\\Int\\Integraciones.AquiJuegoPagos\\DaoProductoPagoAquiJuego.cs'                                  │ 'spMOVPROPLAUpdCampoClave'                                    │
│ 51      │ 'C:\\Dev\\Efecty.SiewebLive\\Int\\Integraciones.AquiJuegoPagos\\DaoProductoPagoAquiJuego.cs'                                  │ 'spInsProdPagoTransDiarias'                                   │
│ 52      │ 'C:\\Dev\\Efecty.SiewebLive\\Int\\Integraciones.AquiJuegoPagos\\DaoProductoPagoAquiJuego.cs'                                  │ 'spInsProdPagoTransDiarias'                                   │
│ 53      │ 'C:\\Dev\\Efecty.SiewebLive\\Int\\Integraciones.AquiJuegoPagos\\DaoProductoPagoAquiJuego.cs'                                  │ 'spSelProdPagoTransDiarias'                                   │
│ 54      │ 'C:\\Dev\\Efecty.SiewebLive\\Int\\Integraciones.ArmaTuVaca\\DaoIntegracionArmaTuVaca.cs'                                      │ 'spMOVPROPLAUpdCampoClave'                                    │
│ 55      │ 'C:\\Dev\\Efecty.SiewebLive\\Int\\Integraciones.ArmatuvacaPagos\\DaoIntegracionArmatuvacaPagos.cs'                            │ 'spInsProdPagoTransDiarias'                                   │
│ 56      │ 'C:\\Dev\\Efecty.SiewebLive\\Int\\Integraciones.ArmatuvacaPagos\\DaoIntegracionArmatuvacaPagos.cs'                            │ 'spMOVPROPLAUpdCampoClave'                                    │
│ 57      │ 'C:\\Dev\\Efecty.SiewebLive\\Int\\Integraciones.ArmatuvacaPagos\\DaoIntegracionArmatuvacaPagos.cs'                            │ 'spSelProdPagoTransDiarias'                                   │
│ 58      │ 'C:\\Dev\\Efecty.SiewebLive\\Int\\Integraciones.AvonRecaudo\\DaoIntegracionAvonRecaudo.cs'                                    │ 'spMOVPROPLAUpdCampoClave'                                    │
│ 59      │ 'C:\\Dev\\Efecty.SiewebLive\\Int\\Integraciones.BanOccidenteImpRegistro\\DaoIntegracionBanOccidenteImpRegistro.cs'            │ 'spMOVPROPLAUpdCampoClave'                                    │
│ 60      │ 'C:\\Dev\\Efecty.SiewebLive\\Int\\Integraciones.BanOccidenteImpVehiculo\\DaoIntegracionBanOccidenteImpVehiculo.cs'            │ 'spMOVPROPLAUpdCampoClave'                                    │
│ 61      │ 'C:\\Dev\\Efecty.SiewebLive\\Int\\Integraciones.BanOccidentePasaportes\\DaoIntegracionPasaporte.cs'                           │ 'spMOVPROPLAUpdCampoClave'                                    │
│ 62      │ 'C:\\Dev\\Efecty.SiewebLive\\Int\\Integraciones.BanOccidentePILA\\DaoIntegracionBanocc.cs'                                    │ 'spMOVPROPLAUpdCampoClave'                                    │
│ 63      │ 'C:\\Dev\\Efecty.SiewebLive\\Int\\Integraciones.BanOccidentePilaRec\\DaoIntegracionBanocc.cs'                                 │ 'spMOVPROPLAUpdCampoClave'                                    │
│ 64      │ 'C:\\Dev\\Efecty.SiewebLive\\Int\\Integraciones.BeMovil\\DaoIntegracionBeMovil.cs'                                            │ 'spSelRiesgoPS'                                               │
│ 65      │ 'C:\\Dev\\Efecty.SiewebLive\\Int\\Integraciones.BetJuegoRecaudos\\DaoIntegracionBetJuegoRecaudos.cs'                          │ 'spMOVPROPLAUpdCampoClave'                                    │
│ 66      │ 'C:\\Dev\\Efecty.SiewebLive\\Int\\Integraciones.Bogocine\\DaoIntegracionBogocine.cs'                                          │ 'spREGSelPinRegistraduria'                                    │
│ 67      │ 'C:\\Dev\\Efecty.SiewebLive\\Int\\Integraciones.CaribeMar\\DaoIntegracionCaribeMar.cs'                                        │ 'spMOVPROPLAUpdCampoClave'                                    │
│ 68      │ 'C:\\Dev\\Efecty.SiewebLive\\Int\\Integraciones.CELYARecaudo\\DaoIntegracionCELYARecaudo.cs'                                  │ 'spMOVPROPLAUpdCampoClave'                                    │
