xC:\Dev\Efecty.SiewebLive\AccesoDatos.Georeferenciador\DaoGeoreferenciador.cs,spLnGEOUpdMensajeNotificacion
C:\Dev\Efecty.SiewebLive\Servidor.AccesoDatos.Loteria\DaoLoteria.cs,SpLnRECSelProyectoProveedorConsulta
C:\Dev\Efecty.SiewebLive\Servidor.AccesoDatos.Loteria\DaoLoteria.cs,SpRECSelProyectoProveedorProcesamiento
C:\Dev\Efecty.SiewebLive\Servidor.AccesoDatos.Loteria\DaoLoteria.cs,spLPROLOTSelProyLotActivosPs
C:\Dev\Efecty.SiewebLive\Servidor.AccesoDatos.Loteria\DaoLoteria.cs,spLOTDETSORSelBilleteAleatorio
C:\Dev\Efecty.SiewebLive\Servidor.AccesoDatos.Loteria\DaoLoteria.cs,spPROLOTSelBilleteAleatorioLottiRed
C:\Dev\Efecty.SiewebLive\Servidor.AccesoDatos.Loteria\DaoLoteria.cs,spPROLOTSelBilleteAleatorioLottiRed
C:\Dev\Efecty.SiewebLive\Servidor.AccesoDatos.Loteria\DaoLoteria.cs,spLOTDETSORSelBilleteManual
C:\Dev\Efecty.SiewebLive\Servidor.AccesoDatos.Loteria\DaoLoteria.cs,spLOTDETSORUpdEstado
C:\Dev\Efecty.SiewebLive\Servidor.AccesoDatos.Loteria\DaoLoteria.cs,spLOTDETSORInsLoteriaDetalleSorteo
C:\Dev\Efecty.SiewebLive\Servidor.AccesoDatos.Loteria\DaoLoteria.cs,spASIVIRLOTSelNumeroLoteria
C:\Dev\Efecty.SiewebLive\Servidor.AccesoDatos.Loteria\DaoLoteria.cs,spLOTMOVInsMovimientoLoteria
C:\Dev\Efecty.SiewebLive\Servidor.AccesoDatos.Loteria\DaoLoteria.cs,spLOTPAGPRESelBilleteGanador
C:\Dev\Efecty.SiewebLive\Servidor.AccesoDatos.Loteria\DaoLoteria.cs,spLOTMOVUpdEstadosBilletePagado
C:\Dev\Efecty.SiewebLive\Servidor.AccesoDatos.Loteria\DaoLoteria.cs,SpLOTTOPPAGSelValidarMontos
C:\Dev\Efecty.SiewebLive\Servidor.AccesoDatos.Loteria\DaoLoteria.cs,spLOTCONSORSelPremiosAdicionales
C:\Dev\Efecty.SiewebLive\Servidor.AccesoDatos.Loteria\DaoLoteria.cs,spLOTMOVSelValidacionLottired
C:\Dev\Efecty.SiewebLive\Servidor.AccesoDatos.Loteria\DaoLoteria.cs,spLOTMOVSelCodSegLoteria
C:\Dev\Efecty.SiewebLive\Servidor.AccesoDatos.Loteria\DaoLoteria.cs,spLOTPLAPRESelValidaPlanLottired
C:\Dev\Efecty.SiewebLive\Servidor.AccesoDatos.Loteria\DaoLoteria.cs,spLOTRESPREInsResPremLottired
C:\Dev\Efecty.SiewebLive\Servidor.AccesoDatos.Loteria\DaoLoteria.cs,spLOTPAGPREInsPagoLottired
C:\Dev\Efecty.SiewebLive\Servidor.AccesoDatos.Loteria\DaoLoteria.cs,spLOTCONSORSelSorteoCerrado
C:\Dev\Efecty.SiewebLive\Servidor.AccesoDatos.Loteria\DaoLoteria.cs,spPUNSERSelCodDanePorPS
C:\Dev\Efecty.SiewebLive\Servidor.AccesoDatos.MDC\DaoMdc.cs,spInsMDCOperacionesSP_Diarias
C:\Dev\Efecty.SiewebLive\Servidor.AccesoDatos.MDC\DaoMdc.cs,spInsMDCOperaciones_Diarias
C:\Dev\Efecty.SiewebLive\Servidor.AccesoDatos.MDC\DaoMdc.cs,
C:\Dev\Efecty.SiewebLive\Servidor.AccesoDatos.MDC\DaoMdc.cs,
C:\Dev\Efecty.SiewebLive\Servidor.AccesoDatos.MDC\DaoMdc.cs,
C:\Dev\Efecty.SiewebLive\Servidor.AccesoDatos.MDC\DaoMdc.cs,spLnMDCSelOperacionExistente
C:\Dev\Efecty.SiewebLive\Servidor.AccesoDatos.MDC\DaoMdc.cs,SpLnMDCSelOperacionConsulta
C:\Dev\Efecty.SiewebLive\Servidor.AccesoDatos.MDC\DaoMdc.cs,spSOLPSSelValidarConceptoMDC
C:\Dev\Efecty.SiewebLive\Servidor.AccesoDatos.MDC\DaoMdc.cs,spLnMDCTransformar
C:\Dev\Efecty.SiewebLive\Servidor.AccesoDatos.MDC\DaoMdc.cs,SpLnMDCSelConsignacionesPs
C:\Dev\Efecty.SiewebLive\Servidor.AccesoDatos.MDC\DaoMdc.cs,spLnMDCInsCerrarMDCPpal_Diario
C:\Dev\Efecty.SiewebLive\Servidor.AccesoDatos.MDC\DaoMdc.cs,spLnMDCInsCerrarMDCAux_Diario
C:\Dev\Efecty.SiewebLive\Servidor.AccesoDatos.MDC\DaoMdc.cs,spLnMDCSelUltimaFechaCierre
C:\Dev\Efecty.SiewebLive\Servidor.AccesoDatos.MDC\DaoMdc.cs,spLnMDCSelSaldoFinal_Diario
C:\Dev\Efecty.SiewebLive\Servidor.AccesoDatos.MDC\DaoMdc.cs,SpLnACUDIAPSselValidarAcumuladoPs
C:\Dev\Efecty.SiewebLive\Servidor.AccesoDatos.MDC\DaoMdc.cs,SpLnACUDIAPSupdAcumuladoPs
C:\Dev\Efecty.SiewebLive\Servidor.AccesoDatos.MDC\DaoMdc.cs,SpLnACUDIAPSupdAcumuladoPs
C:\Dev\Efecty.SiewebLive\Servidor.AccesoDatos.MDC\DaoMdc.cs,SpLnACUDIAPSValidarSaldoCaja
C:\Dev\Efecty.SiewebLive\Servidor.AccesoDatos.MDC\DaoMdc.cs,spLnMDCSelCaratulaMDCLive
C:\Dev\Efecty.SiewebLive\Servidor.AccesoDatos.MDC\DaoMdc.cs,spMDCCONSelConceptosxOperacion
C:\Dev\Efecty.SiewebLive\Servidor.AccesoDatos.MDC\DaoMdc.cs,spMDCCONEXTSelConcepHabilitadosReportes
C:\Dev\Efecty.SiewebLive\Servidor.AccesoDatos.MDC\DaoMdc.cs,spMDCCONSelEstructuraXmlConceptos
C:\Dev\Efecty.SiewebLive\Servidor.AccesoDatos.MDC\DaoMdc.cs,spMDCANTAPRUpdModificarValidacion
C:\Dev\Efecty.SiewebLive\Servidor.AccesoDatos.MDC\DaoMdc.cs,spNOTInsInsertarNotaDebitoDFA
C:\Dev\Efecty.SiewebLive\Servidor.AccesoDatos.MDC\DaoMdc.cs,spMDCCONSelEstructuraXmlConceptoPropio
C:\Dev\Efecty.SiewebLive\Servidor.AccesoDatos.MDC\DaoMdc.cs,spMOVSelConsultarValoresFlete
C:\Dev\Efecty.SiewebLive\Servidor.AccesoDatos.MDC\DaoMdc.cs,spMDCOPEDIASelConsultarRegistroMDC
C:\Dev\Efecty.SiewebLive\Servidor.AccesoDatos.MDC\DaoMdc.cs,spMDCCONPSSelConceptosPsPorTipo
C:\Dev\Efecty.SiewebLive\Servidor.AccesoDatos.MDC\DaoMdc.cs,spPUNSERSelPorcentajeSaldos
C:\Dev\Efecty.SiewebLive\Servidor.AccesoDatos.MDC\DaoMdc.cs,spMDCRevSelReversosSinAprobar
C:\Dev\Efecty.SiewebLive\Servidor.AccesoDatos.MDC\DaoMdc.cs,spMDCPROSelPropiedadesReverso
C:\Dev\Efecty.SiewebLive\Servidor.AccesoDatos.MDC\DaoMdc.cs,spMDCRevUpdAprobarReversos
C:\Dev\Efecty.SiewebLive\Servidor.AccesoDatos.MDC\DaoMdc.cs,spGASFINSelInfoGastoFinanciero
C:\Dev\Efecty.SiewebLive\Servidor.AccesoDatos.MDC\DaoMdc.cs,spMDCOpeAprobarTransaccion
C:\Dev\Efecty.SiewebLive\Servidor.AccesoDatos.MDC\DaoMdc.cs,spMDCOpeAprobarTransaccion
C:\Dev\Efecty.SiewebLive\Servidor.AccesoDatos.MDC\DaoMdc.cs,spMDCOpeAprobarTransaccion
C:\Dev\Efecty.SiewebLive\Servidor.AccesoDatos.MDC\DaoMdc.cs,spMDCREVSelValidarReverso
C:\Dev\Efecty.SiewebLive\Servidor.AccesoDatos.MDC\DaoMdc.cs,spMDCCONSALOPEInsControlaSaldoOperacion
C:\Dev\Efecty.SiewebLive\Servidor.AccesoDatos.MDC\DaoMdc.cs,SpSINInsSiniestro
C:\Dev\Efecty.SiewebLive\Servidor.AccesoDatos.MDC\DaoMdc.cs,spASIPAPTRASelConsultarTransportadoraAsignadaPAP
C:\Dev\Efecty.SiewebLive\Servidor.AccesoDatos.MDC\DaoMdc.cs,spPUNSEREXTSelConsultaTopeNegativoPS
C:\Dev\Efecty.SiewebLive\Servidor.AccesoDatos.MDC\DaoMdc.cs,spPUNSEREXTSelTopeNegativoVSReqLiquidez
C:\Dev\Efecty.SiewebLive\Servidor.AccesoDatos.MDC\DaoMdc.cs,SpTRASelTransportadora
C:\Dev\Efecty.SiewebLive\Servidor.AccesoDatos.Pagos\DaoPagos.cs,SpPAGSelMovimientosClienteLive
C:\Dev\Efecty.SiewebLive\Servidor.AccesoDatos.Pagos\DaoPagos.cs,
C:\Dev\Efecty.SiewebLive\Servidor.AccesoDatos.Pagos\DaoPagos.cs,
C:\Dev\Efecty.SiewebLive\Servidor.AccesoDatos.Pagos\DaoPagos.cs,spMOVPROPAGSelValidarPagoProductoPago
C:\Dev\Efecty.SiewebLive\Servidor.AccesoDatos.Pagos\DaoPagos.cs,spTOPPROSelValidarProductoPagoEnLinea
C:\Dev\Efecty.SiewebLive\Servidor.AccesoDatos.Pagos\DaoPagos.cs,spTOPPROSelValidarTopeDiario
C:\Dev\Efecty.SiewebLive\Servidor.AccesoDatos.Pagos\DaoPagos.cs,spSALPROPAGSelValidarSaldoPPV2
C:\Dev\Efecty.SiewebLive\Servidor.AccesoDatos.Pagos\DaoPagos.cs,spMOVPROPAGUpdMarcarPagandoProductoPago
C:\Dev\Efecty.SiewebLive\Servidor.AccesoDatos.Pagos\DaoPagos.cs,spASIVIRPROPAGSelAsignacionVirtualPP
C:\Dev\Efecty.SiewebLive\Servidor.AccesoDatos.Pagos\DaoPagos.cs,
C:\Dev\Efecty.SiewebLive\Servidor.AccesoDatos.Pagos\DaoPagos.cs,
C:\Dev\Efecty.SiewebLive\Servidor.AccesoDatos.Pagos\DaoPagos.cs,spInsMovimientos
C:\Dev\Efecty.SiewebLive\Servidor.AccesoDatos.Pagos\DaoPagos.cs,spInsMovimientoEstados
C:\Dev\Efecty.SiewebLive\Servidor.AccesoDatos.Pagos\DaoPagos.cs,spInsMovimientoEstados
C:\Dev\Efecty.SiewebLive\Servidor.AccesoDatos.Pagos\DaoPagos.cs,spInsHistMov
C:\Dev\Efecty.SiewebLive\Servidor.AccesoDatos.Pagos\DaoPagos.cs,spLnOSInsTipoMov
C:\Dev\Efecty.SiewebLive\Servidor.AccesoDatos.Pagos\DaoPagos.cs,spInsMovimientosProyectosPl
C:\Dev\Efecty.SiewebLive\Servidor.AccesoDatos.Pagos\DaoPagos.cs,spTOPPROUpdActualizarTopeDiario
C:\Dev\Efecty.SiewebLive\Servidor.AccesoDatos.Pagos\DaoPagos.cs,spPROEXTSelConsultarConfigPP
C:\Dev\Efecty.SiewebLive\Servidor.AccesoDatos.Pagos\DaoPagos.cs,spMOVSelVerificarCambioDestinatario
C:\Dev\Efecty.SiewebLive\Servidor.AccesoDatos.Pagos\DaoPagos.cs,SpBLOUSUDelRetirarBloqueoUsuario
C:\Dev\Efecty.SiewebLive\Servidor.AccesoDatos.Pagos\DaoPagos.cs,spPARINTSelConsultarPiePagina
C:\Dev\Efecty.SiewebLive\Servidor.AccesoDatos.PolizaSeguro\DaoPoliza.cs,spLnSelProyectoPolizaSeguro
C:\Dev\Efecty.SiewebLive\Servidor.AccesoDatos.PolizaSeguro\DaoPoliza.cs,spLnUpdActivarPolizaSeguro
C:\Dev\Efecty.SiewebLive\Servidor.AccesoDatos.PolizaSeguro\DaoPoliza.cs,spLnInsOperacionesAseguradas
C:\Dev\Efecty.SiewebLive\Servidor.AccesoDatos.PolizaSeguro\DaoPoliza.cs,spLnSelOperacionAsegurada
C:\Dev\Efecty.SiewebLive\Servidor.AccesoDatos.Reportes\DaoReportes.cs,spCOLEncolarReporte
C:\Dev\Efecty.SiewebLive\Servidor.AccesoDatos.Reportes\DaoReportes.cs,spCOLInsParametrosProcesos
C:\Dev\Efecty.SiewebLive\Servidor.AccesoDatos.Reportes\DaoReportes.cs,spCOLSelColaProcesosEstados
C:\Dev\Efecty.SiewebLive\Servidor.AccesoDatos.Sac\DaoSac.cs,spLnAUDInsInstrumentacion
C:\Dev\Efecty.SiewebLive\Servidor.AccesoDatos.Sac\DaoSac.cs,SpLnSelFCTDatos
C:\Dev\Efecty.SiewebLive\Servidor.AccesoDatos.Sac\DaoSac.cs,[spLnMOVSelUltimasOperaciones]
C:\Dev\Efecty.SiewebLive\Servidor.AccesoDatos.Sac\DaoSac.cs,[spLnMOVSelUltimasOperaciones]
C:\Dev\Efecty.SiewebLive\Servidor.AccesoDatos.Sac\DaoSac.cs,[spLnMOVSelUltimasOperaciones]
C:\Dev\Efecty.SiewebLive\Servidor.AccesoDatos.Sac\DaoSac.cs,[spLnMOVSelUltimasOperaciones]
C:\Dev\Efecty.SiewebLive\Servidor.AccesoDatos.Sac\DaoSac.cs,[spLnMOVSelUltimasOperaciones]
C:\Dev\Efecty.SiewebLive\Servidor.AccesoDatos.Sac\DaoSac.cs,[spLnMOVSelUltimasOperaciones]
C:\Dev\Efecty.SiewebLive\Servidor.AccesoDatos.Sac\DaoSac.cs,[spLnMOVSelUltimasOperaciones]
C:\Dev\Efecty.SiewebLive\Servidor.AccesoDatos.Sac\DaoSac.cs,[spLnMOVSelUltimasOperaciones]
C:\Dev\Efecty.SiewebLive\Servidor.AccesoDatos.Sac\DaoSac.cs,[spLnMOVSelUltimasOperaciones]
C:\Dev\Efecty.SiewebLive\Servidor.AccesoDatos.Sac\DaoSac.cs,spLnMOVSelUltimasOperaciones
C:\Dev\Efecty.SiewebLive\Servidor.AccesoDatos.Sac\DaoSac.cs,spLnMOVSelUltimasOperaciones
C:\Dev\Efecty.SiewebLive\Servidor.AccesoDatos.Sac\DaoSac.cs,spLnMOVSelUltimasOperaciones
C:\Dev\Efecty.SiewebLive\Servidor.AccesoDatos.Sac\DaoSac.cs,spLnMOVSelUltimasOperaciones
C:\Dev\Efecty.SiewebLive\Servidor.AccesoDatos.Sac\DaoSac.cs,[spLnMOVSelUltimasOperaciones]
C:\Dev\Efecty.SiewebLive\Servidor.AccesoDatos.Sac\DaoSac.cs,spLnMOVSelUltimasOperaciones
C:\Dev\Efecty.SiewebLive\Servidor.AccesoDatos.Sac\DaoSac.cs,spLnMOVSelUltimasOperaciones
C:\Dev\Efecty.SiewebLive\Servidor.AccesoDatos.Sac\DaoSac.cs,spLnMOVSelUltimasOperaciones
C:\Dev\Efecty.SiewebLive\Servidor.AccesoDatos.Sac\DaoSac.cs,spCONREISelDatosControl
C:\Dev\Efecty.SiewebLive\Servidor.AccesoDatos.Sac\DaoSac.cs,spCONREIInsGuardarDatosControl
C:\Dev\Efecty.SiewebLive\Servidor.AccesoDatos.Sac\DaoSac.cs,spCONREIUpdDatosControl
C:\Dev\Efecty.SiewebLive\Servidor.AccesoDatos.Solicitudes\DaoSolicitudes.cs,SpLnSOLSelFctPendientes
C:\Dev\Efecty.SiewebLive\Servidor.AccesoDatos.Solicitudes\DaoSolicitudes.cs,
C:\Dev\Efecty.SiewebLive\Servidor.AccesoDatos.Solicitudes\DaoSolicitudes.cs,spSOLPSSelEstadoSolicitud
C:\Dev\Efecty.SiewebLive\Servidor.AccesoDatos.Solicitudes\DaoSolicitudes.cs,
C:\Dev\Efecty.SiewebLive\Servidor.AccesoDatos.Solicitudes\DaoSolicitudes.cs,
C:\Dev\Efecty.SiewebLive\Servidor.AccesoDatos.Solicitudes\DaoSolicitudes.cs,SpLnSOLSelServiciosPublicosFiltros
C:\Dev\Efecty.SiewebLive\Servidor.AccesoDatos.Solicitudes\DaoSolicitudes.cs,SpLnSOLSelCambioHuellas
C:\Dev\Efecty.SiewebLive\Servidor.AccesoDatos.Solicitudes\DaoSolicitudes.cs,spInsSolicitudPS
C:\Dev\Efecty.SiewebLive\Servidor.AccesoDatos.Solicitudes\DaoSolicitudes.cs,spSOLPSDOCInsInsertarImagenModificacion
C:\Dev\Efecty.SiewebLive\Servidor.AccesoDatos.Solicitudes\DaoSolicitudes.cs,spInsSolicitudPS
C:\Dev\Efecty.SiewebLive\Servidor.AccesoDatos.Solicitudes\DaoSolicitudes.cs,spInsSolicitudPS
C:\Dev\Efecty.SiewebLive\Servidor.AccesoDatos.Solicitudes\DaoSolicitudes.cs,spSOLPSDOCInsInsertarImagenModificacion
C:\Dev\Efecty.SiewebLive\Servidor.AccesoDatos.Solicitudes\DaoSolicitudes.cs,spLnSolPSRedespacho
C:\Dev\Efecty.SiewebLive\Servidor.AccesoDatos.Solicitudes\DaoSolicitudes.cs,spAprobarSolicitudCambioBeneficiario
C:\Dev\Efecty.SiewebLive\Servidor.AccesoDatos.Solicitudes\DaoSolicitudes.cs,spAprobarSolicitudDevolucion
C:\Dev\Efecty.SiewebLive\Servidor.AccesoDatos.Solicitudes\DaoSolicitudes.cs,spLnSolPSActivacion
C:\Dev\Efecty.SiewebLive\Servidor.AccesoDatos.Solicitudes\DaoSolicitudes.cs,SPLnInsMDCPRESolicitudPrestamoPS
C:\Dev\Efecty.SiewebLive\Servidor.AccesoDatos.Solicitudes\DaoSolicitudes.cs,SPLnUpdMDCPREAprobacionPrestamoPS
C:\Dev\Efecty.SiewebLive\Servidor.AccesoDatos.Solicitudes\DaoSolicitudes.cs,SPUpdMDCPRERechazarPrestamoPS
C:\Dev\Efecty.SiewebLive\Servidor.AccesoDatos.Solicitudes\DaoSolicitudes.cs,SPLnSelMDCPREConsultaSolicitudesPrestamoPS
C:\Dev\Efecty.SiewebLive\Servidor.AccesoDatos.Solicitudes\DaoSolicitudes.cs,SPSelMDCPREConsultaSolicitudesOtrosPrestamos
C:\Dev\Efecty.SiewebLive\Servidor.AccesoDatos.Solicitudes\DaoSolicitudes.cs,spSOLPSSelValidarPagoDevolucionOs
C:\Dev\Efecty.SiewebLive\Servidor.AccesoDatos.Solicitudes\DaoSolicitudes.cs,spSOLPSSelValidarPagoDevolucionCup
C:\Dev\Efecty.SiewebLive\Servidor.AccesoDatos.Solicitudes\DaoSolicitudes.cs,spSERPUBUpdActualizarDevPago
C:\Dev\Efecty.SiewebLive\Servidor.AccesoDatos.Solicitudes\DaoSolicitudes.cs,spSOLPSSelValidarRecDevolucionCB
C:\Dev\Efecty.SiewebLive\Servidor.AccesoDatos.Solicitudes\DaoSolicitudes.cs,spMOVPLACBUpdConfirmarPagoDevCB
C:\Dev\Efecty.SiewebLive\Servidor.AccesoDatos.Solicitudes\DaoSolicitudes.cs,SpLnMOVPendientesXPagar
C:\Dev\Efecty.SiewebLive\Servidor.AccesoDatos.Solicitudes\DaoSolicitudes.cs,spSOLPSUpdOsReemplazo
C:\Dev\Efecty.SiewebLive\Servidor.AccesoDatos.Solicitudes\DaoSolicitudes.cs,spSelMotivosSolicitud
C:\Dev\Efecty.SiewebLive\Servidor.AccesoDatos.Solicitudes\DaoSolicitudes.cs,spSelEstados
C:\Dev\Efecty.SiewebLive\Servidor.AccesoDatos.Solicitudes\DaoSolicitudes.cs,spSOLPSSelConsultarListaSolicitudes
C:\Dev\Efecty.SiewebLive\Servidor.AccesoDatos.Solicitudes\DaoSolicitudes.cs,spCambiaEstadoSolicitud
C:\Dev\Efecty.SiewebLive\Servidor.AccesoDatos.Solicitudes\DaoSolicitudes.cs,spSOLPSSelConsultarListaSolicitudes
C:\Dev\Efecty.SiewebLive\Servidor.AccesoDatos.Solicitudes\DaoSolicitudes.cs,spSelSolicitud
C:\Dev\Efecty.SiewebLive\Servidor.AccesoDatos.Solicitudes\DaoSolicitudes.cs,spSOLPSDOCInsInsertarImagenSolicitud
C:\Dev\Efecty.SiewebLive\Servidor.AccesoDatos.Solicitudes\DaoSolicitudes.cs,spCambiaEstadoSolicitud
C:\Dev\Efecty.SiewebLive\Servidor.AccesoDatos.Solicitudes\DaoSolicitudes.cs,spINVInsInventarioRolloPAP
C:\Dev\Efecty.SiewebLive\Servidor.AccesoDatos.Solicitudes\DaoSolicitudes.cs,spINVSelHabilitaInventarioRolloPAP
C:\Dev\Efecty.SiewebLive\Servidor.AccesoDatos.Solicitudes\DaoSolicitudes.cs,spSOLPSUpdAprobarSolicitudPagoAutorizado
C:\Dev\Efecty.SiewebLive\Servidor.AccesoDatos.Solicitudes\DaoSolicitudes.cs,spUSUSelUsuarioSupervisorMantenimiento
C:\Dev\Efecty.SiewebLive\Servidor.AccesoDatos.Solicitudes\DaoSolicitudes.cs,spInsMovimientos_FE
C:\Dev\Efecty.SiewebLive\Servidor.AccesoDatos.Solicitudes\DaoSolicitudes.cs,spSOLPSSelValidarDevolucionFe
C:\Dev\Efecty.SiewebLive\Servidor.AccesoDatos.Solicitudes\DaoSolicitudes.cs,spSOLPSUpdConfirmarDevolucionFE
C:\Dev\Efecty.SiewebLive\Servidor.AccesoDatos.Solicitudes\DaoSolicitudes.cs,spREGVISPAPSelDatosUltVisitaPAP
C:\Dev\Efecty.SiewebLive\Servidor.AccesoDatos.Solicitudes\DaoSolicitudes.cs,spREGVISPAPInsRegistroVisita
C:\Dev\Efecty.SiewebLive\Servidor.AccesoDatos.Solicitudes\DaoSolicitudes.cs,spREGVISPAPUpdRegistroVisita
C:\Dev\Efecty.SiewebLive\Servidor.AccesoDatos.Solicitudes\DaoSolicitudes.cs,spPUNSEREXTSelConsultaActivacionFE
C:\Dev\Efecty.SiewebLive\Servidor.AccesoDatos.Solicitudes\DaoSolicitudes.cs,spPUNSEREXTSelDatosUbicacion
C:\Dev\Efecty.SiewebLive\Servidor.AccesoDatos.Solicitudes\DaoSolicitudes.cs,spMOVFEUpdEstadoMovimientoFE
C:\Dev\Efecty.SiewebLive\Servidor.Integraciones.MovilCarga\DaoIntegracionRecargas.cs,spLnPROSelProyectoRecargas
C:\Dev\Efecty.SiewebLive\Servidor.Integraciones.MovilCarga\MovilWay\DaoIntegracionMovilWayRecarga.cs,spPROYRECARSelProductoPorProyecto
C:\Dev\Efecty.SiewebLive\Servidor.Integraciones.SQLEfecty\DaoIntegracionEfecty.cs,SpLnEFConsultarDatosProy
C:\Dev\Efecty.SiewebLive\Servidor.Integraciones.SQLEfecty\DaoIntegracionEfecty.cs,spLnEFRECCamposValidarPlano
C:\Dev\Efecty.SiewebLive\Servidor.Integraciones.Yanbal\DaoIntegracionYanbal.cs,spMOVPROPLAUpdCampoClave
C:\Dev\Efecty.SiewebLive\Servidor.Monitor.Integraciones\AccessoDatos\DaoMonitorIntegraciones.cs,spPROEXTSelVentanaMonitoreoIntegracion
C:\Dev\Efecty.SiewebLive\Servidor.Monitor.Integraciones\AccessoDatos\DaoMonitorIntegraciones.cs,spMONINTInsMonitoreoIntegraciones
C:\Dev\Efecty.SiewebLive\Servidor.Monitor.Integraciones\AccessoDatos\DaoMonitorIntegraciones.cs,spCORCLISelComprobarConfMonitorIntegraciones
C:\Dev\Efecty.SiewebLive\Servidor.Monitor.Integraciones\AccessoDatos\DaoMonitorIntegraciones.cs,spMONINTEnviarAlertasNoDisponibilidad
C:\Dev\Efecty.SiewebLive\Servidor.MonitorTransacciones\AccesoDatos\DaoMonitorGiroSeguro.cs,spLnSelProyectoPolizaSeguro
C:\Dev\Efecty.SiewebLive\Servidor.MonitorTransacciones\AccesoDatos\DaoMonitorGiroSeguro.cs,SpLnCOMSelParametriosGenerales
C:\Dev\Efecty.SiewebLive\Servidor.MonitorTransacciones\AccesoDatos\DaoMonitorGiroSeguro.cs,spLnSelMovimientosAseguradosNoActivados
C:\Dev\Efecty.SiewebLive\Servidor.MonitorTransacciones\AccesoDatos\DaoMonitorTransacciones.cs,spSelLOGTRAOperacionesNoProcesadas
C:\Dev\Efecty.SiewebLive\Servidor.MonitorTransacciones\AccesoDatos\DaoMonitorTransacciones.cs,spSelLOGTRAOperacionesMaxProces
C:\Dev\Efecty.SiewebLive\Servidor.MonitorTransacciones\AccesoDatos\DaoMonitorTransacciones.cs,spUpLOGTRAOperacionesMaxProcesCorreo
C:\Dev\Efecty.SiewebLive\Servidor.MonitorTransacciones\MonitorTransacciones.cs,spLnTRASelSeguimientoTodasTransacciones
C:\Dev\Efecty.SiewebLive\Servidor.MonitorTransacciones\MonitorTransacciones.cs,spLOGTRANInsOperacionesXProcesar
C:\Dev\Efecty.SiewebLive\Servidor.ServicioReportes\DAO.cs,spCOLSelColaParametros
C:\Dev\Efecty.SiewebLive\Servidor.ServicioReportes.Logica\RSA.cs,spCOLSelColaParametros
C:\Dev\Efecty.SiewebLive\Servidor.ServicioReportes.Logica\RSA.cs,spCOLSelReporteEncolado
C:\Dev\Efecty.SiewebLive\Servidor.ServicioReportes.Logica\RSA.cs,spCOLSelReporteParametroEncolado
C:\Dev\Efecty.SiewebLive\Servidor.ServicioReportes.Logica\RSA.cs,spCOLInsEstadoProceso
C:\Dev\Efecty.SiewebLive\Servidor.ServicioReportes.Logica\RSA.cs,spCOLInsEstadoProceso
C:\Dev\Efecty.SiewebLive\Servidor.ServicioReportes.Logica\RSA.cs,spCOLSelUsuarioSoporte
C:\Dev\Efecty.SiewebLive\Servidor.VerificadorMaestro.Logica\Dao\DaoHuellas.cs,spCLISelHuellasSinValidar
C:\Dev\Efecty.SiewebLive\Servidor.VerificadorMaestro.Logica\Dao\DaoHuellas.cs,spCLISelCantidadHuellasSinValidar
C:\Dev\Efecty.SiewebLive\Servidor.VerificadorMaestro.Logica\Dao\DaoHuellas.cs,spCLISelHuellasMaestraParaComparar
C:\Dev\Efecty.SiewebLive\Sieweb.Servidor.AccesoDatos.NoticiasRegionales\DaoNoticias.cs,spSelMensajesPuntoServicio
C:\Dev\Efecty.SiewebLive\Sieweb.Servidor.AccesoDatos.NoticiasRegionales\DaoNoticias.cs,spSOLPSInsSaldoDisponible
C:\Dev\Efecty.SiewebLive\Sieweb.Servidor.AccesoDatos.NoticiasRegionales\DaoNoticias.cs,spSOLPSSelSaldoDisponible
C:\Dev\Efecty.SiewebLive\Sieweb.Servidor.AccesoDatos.NoticiasRegionales\DaoNoticias.cs,spSOLPSUpdSaldoDisponible
C:\Dev\Efecty.SiewebLive\Sieweb.Servidor.AccesoDatos.NoticiasRegionales\DaoNoticias.cs,spSOLPSSelRefrescarCache
C:\Dev\Efecty.SiewebLive\Sieweb.Servidor.AccesoDatos.RecaudoExterno\DaoRecaudoExterno.cs,spLnValidarIntegracionesExternas
C:\Dev\Efecty.SiewebLive\ValidadorHuellas\Efecty.AnalizadorHuellas\Dao\DaoHuellasCarga.cs,spCLISelHuellasMaestraParaComparar
C:\Dev\Efecty.SiewebLive\ValidadorHuellas\Efecty.AnalizadorHuellas\Dao\DaoHuellasCarga.cs,spCLISelCantidadHuellasRegistradas
C:\Dev\Efecty.SiewebLive\ValidadorHuellas\Efecty.AnalizadorHuellas\Dao\DaoHuellasValidacion.cs,spCLISelHuellasSinValidarRango
C:\Dev\Efecty.SiewebLive\ValidadorHuellas\Efecty.AnalizadorHuellas\Dao\DaoHuellasValidacion.cs,spCLISelCantHuellasSinValidarRangos
C:\Dev\Efecty.SiewebLive\ValidadorHuellas\Efecty.AnalizadorHuellas\Dao\DaoHuellasValidacion.cs,spCLIRegistrarCoincidencia
C:\Dev\Efecty.SiewebLive\ValidadorHuellas\Efecty.AnalizadorHuellas\Dao\DaoHuellasValidacion.cs,spCLIMarcarInconsistenciaHuella
C:\Dev\Efecty.SiewebLive\ValidadorHuellas\Efecty.AnalizadorHuellas\Dao\DaoHuellasValidacion.cs,spCLIMarcarHuellaValidada
C:\Dev\Efecty.SiewebLive\ValidadorHuellas\Efecty.ComparadorHuellas\Dao\DaoHuella.cs,SpUSUSelHuella
